Date,Market,Crop,Price
2024-01-01,Bangalore,Tomato,39.12
2024-01-01,Bangalore,Onion,27.2
2024-01-01,Bangalore,Potato,25.2
2024-01-01,Bangalore,Rice,48.79
2024-01-01,Bangalore,Wheat,46.89
2024-01-01,Bangalore,Maize,34.41
2024-01-01,Bangalore,Carrot,44.14
2024-01-01,Bangalore,Cabbage,21.7
2024-01-01,Bangalore,Chilli,67.38
2024-01-01,Bangalore,Beans,51.24
2024-01-01,Bangalore,Brinjal,34.75
2024-01-01,Bangalore,Cauliflower,43.04
2024-01-01,Mysore,Tomato,32.21
2024-01-01,Mysore,Onion,26.59
2024-01-01,Mysore,Potato,26.2
2024-01-01,Mysore,Rice,49.36
2024-01-01,Mysore,Wheat,40.76
2024-01-01,Mysore,Maize,31.71
2024-01-01,Mysore,Carrot,41.48
2024-01-01,Mysore,Cabbage,19.05
2024-01-01,Mysore,Chilli,68.45
2024-01-01,Mysore,Beans,54.59
2024-01-01,Mysore,Brinjal,33.72
2024-01-01,Mysore,Cauliflower,38.24
2024-01-01,Hubli,Tomato,40.66
2024-01-01,Hubli,Onion,28.69
2024-01-01,Hubli,Potato,22.74
2024-01-01,Hubli,Rice,46.77
2024-01-01,Hubli,Wheat,46.78
2024-01-01,Hubli,Maize,32.83
2024-01-01,Hubli,Carrot,42.46
2024-01-01,Hubli,Cabbage,25.84
2024-01-01,Hubli,Chilli,67.29
2024-01-01,Hubli,Beans,57.78
2024-01-01,Hubli,Brinjal,35.03
2024-01-01,Hubli,Cauliflower,42.42
2024-01-01,Mangalore,Tomato,41.64
2024-01-01,Mangalore,Onion,32.95
2024-01-01,Mangalore,Potato,30.89
2024-01-01,Mangalore,Rice,52.62
2024-01-01,Mangalore,Wheat,47.64
2024-01-01,Mangalore,Maize,30.37
2024-01-01,Mangalore,Carrot,39.82
2024-01-01,Mangalore,Cabbage,24.32
2024-01-01,Mangalore,Chilli,65.64
2024-01-01,Mangalore,Beans,53.86
2024-01-01,Mangalore,Brinjal,34.81
2024-01-01,Mangalore,Cauliflower,42.22
2024-01-01,Belagavi,Tomato,38.09
2024-01-01,Belagavi,Onion,28.92
2024-01-01,Belagavi,Potato,24.96
2024-01-01,Belagavi,Rice,47.68
2024-01-01,Belagavi,Wheat,42.14
2024-01-01,Belagavi,Maize,35.49
2024-01-01,Belagavi,Carrot,41.18
2024-01-01,Belagavi,Cabbage,24.87
2024-01-01,Belagavi,Chilli,64.37
2024-01-01,Belagavi,Beans,55.83
2024-01-01,Belagavi,Brinjal,33.31
2024-01-01,Belagavi,Cauliflower,41.04
2024-01-01,Ballari,Tomato,37.92
2024-01-01,Ballari,Onion,28.12
2024-01-01,Ballari,Potato,23.46
2024-01-01,Ballari,Rice,48.48
2024-01-01,Ballari,Wheat,43.74
2024-01-01,Ballari,Maize,31.21
2024-01-01,Ballari,Carrot,34.83
2024-01-01,Ballari,Cabbage,17.26
2024-01-01,Ballari,Chilli,62.52
2024-01-01,Ballari,Beans,49.14
2024-01-01,Ballari,Brinjal,30.69
2024-01-01,Ballari,Cauliflower,42.54
2024-01-01,Davanagere,Tomato,39.01
2024-01-01,Davanagere,Onion,27.52
2024-01-01,Davanagere,Potato,26.24
2024-01-01,Davanagere,Rice,48.17
2024-01-01,Davanagere,Wheat,46.32
2024-01-01,Davanagere,Maize,30.67
2024-01-01,Davanagere,Carrot,37.12
2024-01-01,Davanagere,Cabbage,20.97
2024-01-01,Davanagere,Chilli,66.49
2024-01-01,Davanagere,Beans,51.1
2024-01-01,Davanagere,Brinjal,35.68
2024-01-01,Davanagere,Cauliflower,44.18
2024-01-01,Shivamogga,Tomato,36.2
2024-01-01,Shivamogga,Onion,27.75
2024-01-01,Shivamogga,Potato,29.98
2024-01-01,Shivamogga,Rice,50.08
2024-01-01,Shivamogga,Wheat,40.73
2024-01-01,Shivamogga,Maize,28.38
2024-01-01,Shivamogga,Carrot,36.88
2024-01-01,Shivamogga,Cabbage,25.02
2024-01-01,Shivamogga,Chilli,69.34
2024-01-01,Shivamogga,Beans,53.38
2024-01-01,Shivamogga,Brinjal,32.51
2024-01-01,Shivamogga,Cauliflower,41.05
2024-01-01,Hassan,Tomato,39.97
2024-01-01,Hassan,Onion,29.23
2024-01-01,Hassan,Potato,28.77
2024-01-01,Hassan,Rice,51.89
2024-01-01,Hassan,Wheat,39.09
2024-01-01,Hassan,Maize,32.77
2024-01-01,Hassan,Carrot,40.45
2024-01-01,Hassan,Cabbage,23.3
2024-01-01,Hassan,Chilli,64.13
2024-01-01,Hassan,Beans,54.13
2024-01-01,Hassan,Brinjal,31.89
2024-01-01,Hassan,Cauliflower,40.48
2024-01-01,Tumakuru,Tomato,34.63
2024-01-01,Tumakuru,Onion,31.63
2024-01-01,Tumakuru,Potato,27.01
2024-01-01,Tumakuru,Rice,46.11
2024-01-01,Tumakuru,Wheat,42.0
2024-01-01,Tumakuru,Maize,27.43
2024-01-01,Tumakuru,Carrot,41.3
2024-01-01,Tumakuru,Cabbage,24.96
2024-01-01,Tumakuru,Chilli,63.39
2024-01-01,Tumakuru,Beans,53.11
2024-01-01,Tumakuru,Brinjal,34.87
2024-01-01,Tumakuru,Cauliflower,37.22
2024-01-01,Chikkamagaluru,Tomato,40.1
2024-01-01,Chikkamagaluru,Onion,31.32
2024-01-01,Chikkamagaluru,Potato,29.23
2024-01-01,Chikkamagaluru,Rice,51.24
2024-01-01,Chikkamagaluru,Wheat,41.0
2024-01-01,Chikkamagaluru,Maize,31.59
2024-01-01,Chikkamagaluru,Carrot,37.16
2024-01-01,Chikkamagaluru,Cabbage,28.43
2024-01-01,Chikkamagaluru,Chilli,71.03
2024-01-01,Chikkamagaluru,Beans,57.65
2024-01-01,Chikkamagaluru,Brinjal,35.46
2024-01-01,Chikkamagaluru,Cauliflower,39.46
2024-01-01,Kalaburagi,Tomato,36.02
2024-01-01,Kalaburagi,Onion,29.58
2024-01-01,Kalaburagi,Potato,18.69
2024-01-01,Kalaburagi,Rice,45.89
2024-01-01,Kalaburagi,Wheat,36.55
2024-01-01,Kalaburagi,Maize,30.08
2024-01-01,Kalaburagi,Carrot,38.13
2024-01-01,Kalaburagi,Cabbage,17.03
2024-01-01,Kalaburagi,Chilli,62.8
2024-01-01,Kalaburagi,Beans,50.4
2024-01-01,Kalaburagi,Brinjal,30.12
2024-01-01,Kalaburagi,Cauliflower,40.98
2024-01-02,Bangalore,Tomato,37.47
2024-01-02,Bangalore,Onion,28.78
2024-01-02,Bangalore,Potato,27.4
2024-01-02,Bangalore,Rice,52.93
2024-01-02,Bangalore,Wheat,42.7
2024-01-02,Bangalore,Maize,31.58
2024-01-02,Bangalore,Carrot,45.05
2024-01-02,Bangalore,Cabbage,26.29
2024-01-02,Bangalore,Chilli,67.59
2024-01-02,Bangalore,Beans,55.23
2024-01-02,Bangalore,Brinjal,34.05
2024-01-02,Bangalore,Cauliflower,40.88
2024-01-02,Mysore,Tomato,34.79
2024-01-02,Mysore,Onion,29.79
2024-01-02,Mysore,Potato,22.93
2024-01-02,Mysore,Rice,46.85
2024-01-02,Mysore,Wheat,39.65
2024-01-02,Mysore,Maize,32.13
2024-01-02,Mysore,Carrot,36.92
2024-01-02,Mysore,Cabbage,26.33
2024-01-02,Mysore,Chilli,68.96
